"VAR","Variable","COU","Country","ROW","From: (sector in row)","COL","To: (sector in column)","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_07T08,Mining and quarrying of non-energy producing products,ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,19.46,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_07T08,Mining and quarrying of non-energy producing products,ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,19.58,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_07T08,Mining and quarrying of non-energy producing products,ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,22.96,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_07T08,Mining and quarrying of non-energy producing products,ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,20.88,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_07T08,Mining and quarrying of non-energy producing products,ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,19.61,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,24.17,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,30.18,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,26.34,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2008,2008,PC,Percentage,0,Units,,,26.91,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2009,2009,PC,Percentage,0,Units,,,22.92,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2010,2010,PC,Percentage,0,Units,,,26.06,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2011,2011,PC,Percentage,0,Units,,,27.4,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2012,2012,PC,Percentage,0,Units,,,27.23,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2013,2013,PC,Percentage,0,Units,,,31.04,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2014,2014,PC,Percentage,0,Units,,,25.37,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_09,Mining support service activities,ICESHR,Imports content of exports shares,2015,2015,PC,Percentage,0,Units,,,23.96,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2005,2005,PC,Percentage,0,Units,,,24.65,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2006,2006,PC,Percentage,0,Units,,,26.48,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2007,2007,PC,Percentage,0,Units,,,25.86,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2008,2008,PC,Percentage,0,Units,,,26.64,,
ICESHR,"Imports content of exports, as % of exports",LVA,Latvia,TTL_10T12,"Food products, beverages and tobacco",ICESHR,Imports content of exports shares,2009,2009,PC,Percentage,0,Units,,,25.84,,
